system,round,average_wealth,inequality,population,total_wealth,idh,unemployment_rate
communism,24,,,100,,0.6887022870617169,0.0
communism,25,,,100,,0.6887022870617169,0.0
communism,26,,,100,,0.6904147615886119,0.0
communism,27,,,100,,0.6904147615886119,0.0
communism,28,,,100,,0.6921836230037623,0.0
communism,29,,,100,,0.6921836230037623,0.0
communism,30,,,100,,0.6938729948001331,0.0
communism,31,,,100,,0.6938729948001331,0.0
communism,32,,,100,,0.6955176729923078,0.0
communism,33,,,100,,0.6955176729923078,0.0
communism,34,,,100,,0.6971112647605057,0.0
communism,35,,,100,,0.6971112647605057,0.0
communism,36,,,100,,0.6986486828378698,0.0
communism,37,,,100,,0.6986486828378698,0.0
communism,38,,,100,,0.7002876361928344,0.0
communism,39,,,100,,0.7002876361928344,0.0
communism,40,,,100,,0.701824517433678,0.0
communism,41,,,100,,0.701824517433678,0.0
communism,42,,,100,,0.7034022504157266,0.0
communism,43,,,100,,0.7034022504157266,0.0
communism,44,,,100,,0.7050808856563516,0.0
communism,45,,,100,,0.7050808856563516,0.0
communism,46,,,100,,0.7067738090992552,0.0
communism,47,,,100,,0.7067738090992552,0.0
communism,48,,,100,,0.7085605658419795,0.0
communism,49,,,100,,0.7085605658419795,0.0
communism,50,,,100,,0.7102010023133093,0.0
communism,51,,,100,,0.7102010023133093,0.0
communism,52,,,100,,0.711882378203495,0.0
communism,53,,,100,,0.711882378203495,0.0
communism,54,,,100,,0.7137035276925933,0.0
communism,55,,,100,,0.7137035276925933,0.0
communism,56,,,100,,0.7155869321978795,0.0
communism,57,,,100,,0.7155869321978795,0.0
communism,58,,,100,,0.7174362991560771,0.0
communism,59,,,100,,0.7174362991560771,0.0
communism,60,,,100,,0.7190704494289172,0.0
communism,61,,,100,,0.7190704494289172,0.0
communism,62,,,100,,0.7206374140151232,0.0
communism,63,,,100,,0.7206374140151232,0.0
communism,64,,,100,,0.7223598930855011,0.0
communism,65,,,100,,0.7223598930855011,0.0
communism,66,,,100,,0.7239394498629536,0.0
communism,67,,,100,,0.7239394498629536,0.0
communism,68,,,100,,0.7257178420843422,0.0
communism,69,,,100,,0.7257178420843422,0.0
communism,70,,,100,,0.7272135324255148,0.0
communism,71,,,100,,0.7272135324255148,0.0
communism,72,,,100,,0.7289764490395725,0.0
communism,73,,,100,,0.7289764490395725,0.0
communism,74,,,100,,0.7305497764054091,0.0
communism,75,,,100,,0.7305497764054091,0.0
communism,76,,,100,,0.7323045377780758,0.0
communism,77,,,100,,0.7323045377780758,0.0
communism,78,,,100,,0.7339290242073334,0.0
communism,79,,,100,,0.7339290242073334,0.0
communism,80,,,100,,0.7355420477243831,0.0
communism,81,,,100,,0.7355420477243831,0.0
communism,82,,,100,,0.7371626842683318,0.0
communism,83,,,100,,0.7371626842683318,0.0
communism,84,,,100,,0.738864741896934,0.0
communism,85,,,100,,0.738864741896934,0.0
communism,86,,,100,,0.740603681665767,0.0
communism,87,,,100,,0.740603681665767,0.0
communism,88,,,100,,0.7421261725146513,0.0
communism,89,,,100,,0.7421261725146513,0.0
communism,90,,,100,,0.7439793135488001,0.0
communism,91,,,100,,0.7439793135488001,0.0
communism,92,,,100,,0.7454455513474202,0.0
communism,93,,,100,,0.7454455513474202,0.0
communism,94,,,100,,0.7473155034827901,0.0
communism,95,,,100,,0.7473155034827901,0.0
communism,96,,,100,,0.7489345397346027,0.0
